Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
15:59:56,10,78,24,236,,,
15:59:58,9,79,23,8,,,
15:59:59,9,79,23,9,,,
16:00:00,9,79,23,10,,,
16:00:02,9,79,24,91,,,
16:00:03,9,79,23,92,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:00:08,9,79,23,10,,,
16:00:09,9,80,22,257,,,
16:00:11,9,80,23,52,,,
16:00:12,9,80,23,172,,,
16:00:13,9,80,22,9,,,
16:00:15,9,80,21,10,,,
16:00:16,9,80,22,10,,,
16:00:17,9,80,22,10,,,
16:00:19,9,80,22,9,,,
16:00:20,9,80,22,197,,,
16:00:21,9,80,22,10,,,
16:00:22,9,80,22,10,,,
16:00:24,9,80,22,10,,,
16:00:25,9,80,22,10,,,
16:00:26,9,80,22,10,,,
16:00:28,9,80,22,9,,,
16:00:29,9,80,21,10,,,
16:00:30,9,80,22,10,,,
16:00:32,9,80,22,11,,,
16:00:33,9,80,22,10,,,
16:00:34,9,80,22,67,,,
16:00:35,9,80,20,11,,,
16:00:37,9,80,21,10,,,
16:00:38,9,80,22,758,,,
16:00:39,9,80,21,11,,,
16:00:41,9,80,21,11,,,
16:00:42,9,80,21,11,,,
16:00:43,9,80,21,11,,,
16:00:45,9,80,21,72,,,
16:00:46,9,80,20,10,,,
16:00:47,9,81,22,11,,,
16:00:48,9,80,22,10,,,
16:00:50,9,81,21,11,,,
16:00:51,9,81,20,284,,,
16:00:52,9,80,20,11,,,
16:00:54,9,80,21,11,,,
16:00:55,9,80,21,11,,,
16:00:56,9,80,21,11,,,
16:00:58,9,80,19,10,,,
16:00:59,10,80,20,11,,,
16:01:00,9,80,21,11,,,
16:01:02,9,80,21,11,,,
16:01:03,10,80,20,11,,,
16:01:04,9,80,21,12,,,
16:01:05,10,80,21,11,,,
16:01:07,10,80,20,11,,,
16:01:08,9,80,20,153,,,
16:01:09,10,80,20,12,,,
16:01:11,10,80,20,11,,,
16:01:12,9,80,20,11,,,
16:01:13,9,80,20,11,,,
16:01:15,10,81,20,13,,,
16:01:16,9,81,21,15,,,
16:01:17,9,80,20,171,,,
16:01:18,10,81,20,278,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:01:24,9,80,20,263,,,
16:01:25,9,81,20,53,,,
16:01:27,9,81,20,11,,,
16:01:28,9,81,19,11,,,
16:01:29,9,81,19,11,,,
16:01:31,9,81,19,738,,,
16:01:32,9,81,19,198,,,
16:01:33,9,81,20,11,,,
16:01:35,9,81,19,546,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:01:40,9,81,20,13,,,
16:01:42,9,81,19,13,,,
16:01:43,9,81,19,12,,,
16:01:44,9,81,18,11,,,
16:01:46,9,81,19,218,,,
16:01:47,9,81,19,12,,,
16:01:48,9,81,18,12,,,
16:01:50,9,81,18,12,,,
16:01:51,9,81,19,207,,,
16:01:52,9,81,19,13,,,
16:01:53,9,81,18,12,,,
16:01:55,9,81,19,12,,,
16:01:56,9,81,19,13,,,
16:01:57,9,81,19,13,,,
16:01:59,9,81,18,12,,,
16:02:00,9,81,17,17,,,
16:02:01,9,81,18,13,,,
16:02:03,9,81,19,13,,,
16:02:04,9,81,18,699,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:02:08,9,81,19,13,,,
16:02:10,9,81,17,71,,,
16:02:11,9,81,19,13,,,
16:02:12,9,81,18,13,,,
16:02:14,9,81,18,193,,,
16:02:15,9,81,18,13,,,
16:02:16,9,81,18,14,,,
16:02:18,9,81,17,13,,,
16:02:19,9,81,17,12,,,
16:02:20,9,81,17,70,,,
16:02:21,9,81,17,458,,,
16:02:23,9,82,17,292,,,
16:02:24,9,82,17,76,,,
16:02:25,9,82,17,380,,,
16:02:27,9,82,17,13,,,
16:02:28,9,82,18,15,,,
16:02:29,9,82,18,12,,,
16:02:31,9,82,17,13,,,
16:02:32,9,82,17,477,,,
16:02:33,9,82,18,13,,,
16:02:34,9,82,17,32,,,
16:02:36,9,82,17,12,,,
16:02:37,9,82,17,12,,,
16:02:38,9,82,17,14,,,
16:02:40,9,82,17,13,,,
16:02:41,9,82,18,13,,,
16:02:42,9,82,17,14,,,
16:02:44,9,82,17,524,,,
16:02:45,9,82,17,227,,,
16:02:46,9,82,17,13,,,
16:02:48,9,82,15,15,,,
16:02:49,9,82,16,14,,,
16:02:50,9,82,18,43,,,
16:02:51,9,82,17,180,,,
16:02:53,9,82,18,15,,,
16:02:54,9,82,17,14,,,
16:02:55,9,82,17,14,,,
16:02:57,9,82,17,14,,,
16:02:58,9,82,17,37,,,
16:02:59,9,82,16,13,,,
16:03:01,9,82,16,13,,,
16:03:02,9,82,17,14,,,
16:03:03,9,82,16,124,,,
16:03:04,9,82,17,14,,,
16:03:06,9,82,17,15,,,
16:03:07,9,82,17,13,,,
16:03:08,9,82,17,14,,,
16:03:10,9,82,16,14,,,
